Feature,Importance_Score
Quality_Power,0.5110532933246195
Neigh_Richness,0.09358291533353078
TotalSF,0.09164923313037461
LuxuryIndex,0.045157136868608214
YearRemodAdd,0.026191197767517355
GarageFinish,0.017885800777645455
GarageCars,0.017667626119430024
HighValueSF,0.017628012692100473
Total_Score,0.01755475585226494
LotArea,0.017086765704295313
Neigh_PPSF,0.014807042961802266
HouseAge,0.013949195814789183
BsmtFinSF1,0.012900358301019706
TotalBath,0.012320716791651752
KitchenQual_TA,0.009330293453149004
GarageArea,0.006838631890295915
1stFlrSF,0.00596333418935701
OverallCond,0.005558475157086432
ExterQual_TA,0.005202478325476544
BsmtFinType1,0.003645656252485536
BsmtFullBath,0.0035996895635644942
FireplaceQu,0.0034428759973883353
GarageQual,0.003172469008460634
HalfBath,0.0026248073058426674
KitchenQual_Ex,0.0025111795618060744
TotalBsmtSF,0.002381854234728237
GrLivArea,0.0022513971354171745
BsmtUnfSF,0.0019635063884434777
ScreenPorch,0.001880433802989651
WoodDeckSF,0.001747140042924587
GarageYrBlt,0.001739935124012466
YearBuilt,0.0017019627250708632
SaleCondition_Abnorml,0.001578540012621043
BsmtQual,0.0015264253614876385
LotFrontage,0.0010667738252302
Id,0.000949849880076355
CentralAir_N,0.0008619689377895164
MoSold,0.0008453737378224973
KitchenQual_Gd,0.0008346695569643152
BsmtCond,0.0008187732339267186
CentralAir_Y,0.0008065906787560577
GarageType_Attchd,0.00072498011566283
HeatingQC_Ex,0.0006851284346014976
Condition1_Artery,0.0006400651428078624
Fireplaces,0.0006262750219844114
OpenPorchSF,0.0006112101244257625
Exterior1st_BrkFace,0.0005828299699074075
LotConfig_CulDSac,0.0005164487169486556
Condition1_Norm,0.00048131644376737373
KitchenAbvGr,0.0004758104534575859
BldgType_1Fam,0.00044961839896516797
EnclosedPorch,0.0004259316793137222
GarageType_CarPort,0.0004230130201442725
Neighborhood_Timber,0.0004179311200805417
Foundation_PConc,0.00041574752829720427
2ndFlrSF,0.00038436530249437645
Condition1_PosN,0.00036161622305832717
Neighborhood_BrkSide,0.0003522517169586661
YrSold,0.0003319599746994226
BedroomAbvGr,0.0003088277236407995
BsmtExposure,0.00030481738109324423
BsmtFinSF2,0.00028063475771985993
Fence_MnPrv,0.0002798921760804923
MasVnrArea,0.0002793089683905896
BsmtFinType2,0.00025003163933246604
Foundation_CBlock,0.00021787705759175399
PavedDrive_P,0.0002159215848110503
Exterior1st_HdBoard,0.00021067777559386375
Neighborhood_Sawyer,0.00020760818091072208
TotRmsAbvGrd,0.00019761861848704423
Condition1_RRAe,0.00017064661590311694
Functional_Typ,0.00016989721160662566
HeatingQC_TA,0.00016070288707877318
ExterQual_Ex,0.00015309833574346987
Functional_Sev,0.0001524949927709302
Functional_Mod,0.00014377722484129778
GarageCond,0.00014036120196020725
Exterior1st_VinylSd,0.0001315025166284504
MSSubClass,0.0001312711119896383
Exterior2nd_Wd Sdng,0.00013081231637849895
LotConfig_FR2,0.0001287104886223436
SaleType_WD,0.00012699186471164294
Functional_Maj2,0.00011527439823777207
Electrical_FuseF,0.00011235840919645027
Neighborhood_NWAmes,8.682023606397249e-05
Exterior1st_MetalSd,8.671308108055217e-05
MSZoning_RH,8.538563887215712e-05
SaleType_Oth,8.167835094429813e-05
LotConfig_Inside,8.129290601835669e-05
HouseStyle_1.5Fin,7.817852705536143e-05
Neighborhood_SawyerW,7.685652895992222e-05
LotShape_IR1,7.621070207865731e-05
LandContour_HLS,7.57499795280135e-05
PoolQC,7.53275274193907e-05
Condition1_RRAn,7.354241880791654e-05
Exterior2nd_HdBoard,7.02517773876263e-05
SaleType_ConLI,6.62231828143126e-05
MiscVal,5.861295819635364e-05
SaleType_CWD,5.736165995108327e-05
Foundation_Stone,5.646250384934226e-05
ExterCond_Fa,5.092806236976018e-05
SaleCondition_Family,5.013714717765181e-05
ExterQual_Gd,4.638237944434293e-05
Electrical_SBrkr,4.577115445828832e-05
Neighborhood_CollgCr,4.46907205972323e-05
SaleCondition_Normal,4.402144505270005e-05
LotShape_Reg,4.066877349332851e-05
LotConfig_Corner,3.8535525631576326e-05
Functional_Maj1,3.577368691868694e-05
OverallQual,3.571994292132277e-05
Alley_Pave,3.4355016405466624e-05
Exterior2nd_MetalSd,3.42502893693162e-05
GarageType_Basment,3.134608409189601e-05
KitchenQual_Fa,2.665650259369297e-05
Exterior1st_Plywood,2.3294218227819293e-05
Neighborhood_MeadowV,2.1979608372074703e-05
BsmtHalfBath,2.014148148450883e-05
Electrical_FuseA,1.5943099118324618e-05
Exterior2nd_ImStucc,1.4942279701564315e-05
Neighborhood_Crawfor,1.4242039985394919e-05
Exterior2nd_Plywood,1.37957917468468e-05
MSZoning_FV,1.2085771207430177e-05
Neighborhood_Edwards,1.1615026786362241e-05
HouseStyle_2Story,1.1421237343788135e-05
HouseStyle_SLvl,1.1338255420092382e-05
Fence_MnWw,1.0806850173399853e-05
MSZoning_RM,1.0603808419701236e-05
Exterior1st_AsbShng,9.727800311169683e-06
LowQualFinSF,9.298374908987183e-06
HouseStyle_1Story,8.939589476171052e-06
Exterior1st_Wd Sdng,8.162118963145288e-06
RoofStyle_Hip,7.887947518590435e-06
Neighborhood_Mitchel,7.76273353899041e-06
MasVnrType_None,7.666934938029035e-06
Foundation_BrkTil,7.423829794697206e-06
Neighborhood_Gilbert,7.101667403523296e-06
HeatingQC_Po,5.098503213914741e-06
LandContour_Bnk,4.999185848186385e-06
Alley_None,4.240210243827661e-06
Neighborhood_IDOTRR,4.109718091728452e-06
HouseStyle_1.5Unf,3.80828115259487e-06
HouseStyle_SFoyer,3.5945383096223003e-06
MSZoning_RL,3.3053247765074236e-06
ExterCond_TA,3.1291188271297697e-06
Exterior2nd_AsbShng,3.127008675059784e-06
Street_Grvl,2.9988289523661537e-06
Fence_GdPrv,2.9690157651994676e-06
LotShape_IR2,2.7155381265590812e-06
BldgType_TwnhsE,2.671994958731376e-06
Exterior2nd_Wd Shng,2.5475634355770137e-06
FullBath,2.2339041238636616e-06
Alley_Grvl,2.0976589253993386e-06
Neighborhood_OldTown,2.0556386979952522e-06
Functional_Min2,1.954448966318777e-06
Neighborhood_NridgHt,1.9111526705791207e-06
SaleCondition_Partial,1.8611342702594708e-06
MasVnrType_BrkFace,1.7710360073222439e-06
HeatingQC_Gd,1.7560695546746597e-06
PavedDrive_Y,1.6541489829310738e-06
MiscFeature_Shed,1.557112762712953e-06
Street_Pave,1.3066524736543687e-06
GarageType_Detchd,1.186960389830697e-06
RoofStyle_Gable,1.1772901384078825e-06
Exterior2nd_VinylSd,1.162197707598841e-06
Neighborhood_Somerst,9.713155820013238e-07
Condition2_RRAn,9.076168875074151e-07
LotConfig_FR3,8.232188873205567e-07
LandContour_Lvl,7.894601559283979e-07
MiscFeature_None,7.558887907280197e-07
ExterCond_Gd,6.928365700968388e-07
LandSlope_Mod,6.833787441691396e-07
Foundation_Wood,4.079663051508039e-07
BldgType_Duplex,4.0469857430047497e-07
Exterior2nd_CmentBd,3.994873063261209e-07
Heating_Grav,2.2712349115109807e-07
Fence_None,2.0348623718389354e-07
Exterior1st_CemntBd,1.788157257023239e-07
LandSlope_Sev,1.4793846982826473e-07
SaleType_New,1.2113157596601526e-07
Neighborhood_NAmes,1.0143629932503841e-07
MasVnrType_Stone,7.966436440812349e-08
GarageType_None,7.422719189256168e-08
Condition1_Feedr,5.695108842489515e-08
LandContour_Low,3.6532455437124186e-08
SaleCondition_Alloca,3.203909358834898e-08
MasVnrType_BrkCmn,2.313402097484485e-08
